what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512513473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512518511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512524120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512529106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512531777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512533048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386512533054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512539532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512546830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512550208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512551376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386512551382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512555627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512563417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512580081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512594927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512598517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512604686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512607072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512610495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512613055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512614655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512629474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512630680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386512630687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512633522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512634496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1386512634502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512636974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386512638165
